Orthogroup	fast	lk	lp	slow
OG0003622	TRINITY_GG_10280_c1_g1_i1.p1	TRINITY_GG_30007_c1_g1_i3.p1	TRINITY_GG_14074_c0_g1_i1.p1	TRINITY_GG_1177_c0_g1_i2.p1
OG0003623	TRINITY_GG_10288_c0_g2_i1.p1	TRINITY_GG_23233_c0_g1_i7.p1	TRINITY_GG_32903_c0_g1_i5.p1	TRINITY_GG_32805_c0_g1_i2.p1
OG0003624	TRINITY_GG_10288_c1_g1_i1.p1	TRINITY_GG_23233_c1_g1_i1.p1	TRINITY_GG_32903_c5_g1_i1.p1	TRINITY_GG_32804_c0_g1_i1.p1
OG0003625	TRINITY_GG_10289_c0_g1_i1.p1	TRINITY_GG_23234_c10_g1_i2.p1	TRINITY_GG_32901_c1_g1_i1.p1	TRINITY_GG_32806_c1_g1_i1.p1
OG0003626	TRINITY_GG_10289_c1_g1_i14.p1	TRINITY_GG_23234_c0_g1_i4.p1	TRINITY_GG_32901_c0_g1_i10.p1	TRINITY_GG_32806_c0_g1_i18.p1
OG0003628	TRINITY_GG_10300_c0_g1_i3.p1	TRINITY_GG_30789_c0_g1_i1.p1	TRINITY_GG_26421_c0_g1_i5.p1	TRINITY_GG_24572_c0_g1_i10.p1
OG0003629	TRINITY_GG_10308_c0_g1_i2.p1	TRINITY_GG_30073_c0_g1_i2.p1	TRINITY_GG_27370_c1_g1_i9.p1	TRINITY_GG_19249_c1_g1_i26.p1
OG0003630	TRINITY_GG_10308_c1_g1_i2.p1	TRINITY_GG_30073_c1_g1_i4.p2	TRINITY_GG_27370_c0_g1_i3.p1	TRINITY_GG_19249_c0_g1_i2.p1
OG0003631	TRINITY_GG_10318_c0_g1_i1.p1	TRINITY_GG_3807_c0_g1_i2.p1	TRINITY_GG_1513_c0_g1_i2.p1	TRINITY_GG_19788_c0_g1_i1.p1
OG0003632	TRINITY_GG_10319_c0_g1_i36.p3	TRINITY_GG_3806_c0_g1_i39.p3	TRINITY_GG_1514_c0_g1_i95.p3	TRINITY_GG_19789_c0_g1_i26.p3
OG0003633	TRINITY_GG_10319_c0_g1_i36.p1	TRINITY_GG_3806_c0_g1_i39.p1	TRINITY_GG_1514_c0_g1_i95.p1	TRINITY_GG_19789_c0_g1_i26.p1
OG0003634	TRINITY_GG_10326_c0_g1_i1.p1	TRINITY_GG_8131_c0_g1_i2.p1	TRINITY_GG_15780_c0_g1_i1.p1	TRINITY_GG_18607_c0_g1_i1.p1
OG0003635	TRINITY_GG_10350_c0_g1_i3.p1	TRINITY_GG_421_c1_g2_i2.p1	TRINITY_GG_3208_c1_g1_i2.p1	TRINITY_GG_19535_c2_g1_i2.p1
OG0003636	TRINITY_GG_10350_c1_g1_i31.p1	TRINITY_GG_421_c0_g1_i11.p1	TRINITY_GG_3208_c0_g1_i8.p1	TRINITY_GG_19535_c0_g1_i66.p1
OG0003637	TRINITY_GG_10350_c2_g1_i2.p1	TRINITY_GG_421_c2_g1_i4.p1	TRINITY_GG_3208_c1_g2_i1.p1	TRINITY_GG_19535_c1_g1_i4.p1
OG0003638	TRINITY_GG_10350_c3_g1_i1.p1	TRINITY_GG_421_c5_g1_i2.p1	TRINITY_GG_3208_c3_g1_i4.p1	TRINITY_GG_19535_c3_g2_i2.p1
OG0003640	TRINITY_GG_10378_c0_g1_i5.p1	TRINITY_GG_12434_c0_g1_i25.p1	TRINITY_GG_28361_c0_g1_i28.p1	TRINITY_GG_26758_c0_g1_i16.p1
OG0003641	TRINITY_GG_10383_c0_g1_i1.p1	TRINITY_GG_27461_c10_g1_i5.p1	TRINITY_GG_15463_c8_g1_i3.p1	TRINITY_GG_28868_c1_g1_i2.p1
OG0003642	TRINITY_GG_10383_c1_g1_i9.p1	TRINITY_GG_27461_c0_g1_i12.p3	TRINITY_GG_15463_c3_g1_i1.p2	TRINITY_GG_28868_c2_g1_i21.p1
OG0003643	TRINITY_GG_10383_c1_g1_i9.p2	TRINITY_GG_27461_c0_g1_i12.p4	TRINITY_GG_15463_c3_g1_i1.p3	TRINITY_GG_28868_c2_g1_i21.p2
OG0003644	TRINITY_GG_10383_c2_g1_i1.p1	TRINITY_GG_27461_c2_g2_i2.p1	TRINITY_GG_15463_c0_g1_i2.p2	TRINITY_GG_28868_c0_g1_i1.p1
OG0003645	TRINITY_GG_10383_c3_g1_i2.p1	TRINITY_GG_27461_c8_g1_i7.p1	TRINITY_GG_15463_c0_g1_i2.p1	TRINITY_GG_28868_c3_g1_i11.p1
OG0003646	TRINITY_GG_10383_c4_g1_i1.p1	TRINITY_GG_27461_c0_g1_i12.p1	TRINITY_GG_15463_c3_g1_i1.p1	TRINITY_GG_28868_c4_g1_i3.p1
OG0003647	TRINITY_GG_10385_c10_g1_i3.p1	TRINITY_GG_27461_c3_g1_i29.p2	TRINITY_GG_15463_c11_g1_i1.p1	TRINITY_GG_28868_c6_g1_i1.p1
OG0003648	TRINITY_GG_10385_c1_g1_i2.p1	TRINITY_GG_27460_c2_g2_i5.p1	TRINITY_GG_15464_c0_g1_i35.p1	TRINITY_GG_28867_c0_g1_i46.p1
OG0003650	TRINITY_GG_10385_c2_g1_i21.p1	TRINITY_GG_27461_c9_g1_i11.p1	TRINITY_GG_15463_c6_g2_i11.p1	TRINITY_GG_28861_c4_g1_i1.p1
OG0003651	TRINITY_GG_10385_c2_g1_i21.p2	TRINITY_GG_27461_c9_g1_i11.p2	TRINITY_GG_15463_c6_g2_i11.p2	TRINITY_GG_28861_c2_g1_i1.p1
OG0003652	TRINITY_GG_10385_c30_g1_i1.p1	TRINITY_GG_27461_c11_g1_i1.p1	TRINITY_GG_15463_c10_g1_i1.p1	TRINITY_GG_28862_c2_g1_i1.p1
OG0003653	TRINITY_GG_10385_c3_g1_i17.p3	TRINITY_GG_27460_c0_g1_i41.p3	TRINITY_GG_15464_c1_g1_i20.p2	TRINITY_GG_28866_c0_g1_i7.p3
OG0003654	TRINITY_GG_10385_c3_g1_i17.p2	TRINITY_GG_27460_c0_g1_i41.p2	TRINITY_GG_15464_c1_g1_i20.p1	TRINITY_GG_28866_c0_g1_i7.p2
OG0003655	TRINITY_GG_10385_c4_g1_i6.p1	TRINITY_GG_27461_c3_g1_i29.p1	TRINITY_GG_15463_c1_g1_i9.p1	TRINITY_GG_28869_c0_g1_i12.p1
OG0003656	TRINITY_GG_10385_c5_g4_i1.p1	TRINITY_GG_27460_c17_g1_i5.p1	TRINITY_GG_15464_c3_g1_i8.p1	TRINITY_GG_28867_c1_g1_i2.p1
OG0003657	TRINITY_GG_10385_c6_g1_i56.p1	TRINITY_GG_27461_c7_g1_i12.p1	TRINITY_GG_15463_c7_g1_i12.p1	TRINITY_GG_28861_c3_g1_i2.p1
OG0003658	TRINITY_GG_10385_c7_g1_i1.p1	TRINITY_GG_27461_c1_g2_i5.p1	TRINITY_GG_15463_c2_g1_i4.p1	TRINITY_GG_28861_c1_g1_i4.p1
OG0003659	TRINITY_GG_10385_c8_g1_i13.p1	TRINITY_GG_27461_c4_g1_i17.p1	TRINITY_GG_15463_c4_g1_i44.p1	TRINITY_GG_28861_c19_g1_i15.p1
OG0003660	TRINITY_GG_10385_c8_g1_i13.p2	TRINITY_GG_27461_c4_g1_i17.p2	TRINITY_GG_15463_c4_g1_i44.p2	TRINITY_GG_28861_c19_g1_i15.p2
OG0003661	TRINITY_GG_10385_c8_g1_i13.p3	TRINITY_GG_27461_c4_g1_i17.p3	TRINITY_GG_15463_c4_g1_i44.p3	TRINITY_GG_28861_c19_g1_i15.p3
OG0003662	TRINITY_GG_10385_c9_g1_i3.p1	TRINITY_GG_27461_c12_g1_i2.p1	TRINITY_GG_15463_c9_g1_i1.p1	TRINITY_GG_28861_c10_g1_i2.p1
OG0003663	TRINITY_GG_10386_c0_g1_i7.p2	TRINITY_GG_12738_c0_g1_i14.p2	TRINITY_GG_5597_c0_g1_i41.p2	TRINITY_GG_25395_c0_g1_i20.p2
OG0003665	TRINITY_GG_10388_c0_g1_i135.p1	TRINITY_GG_27881_c2_g1_i21.p2	TRINITY_GG_30853_c0_g1_i64.p1	TRINITY_GG_32591_c0_g1_i24.p1
OG0003666	TRINITY_GG_10388_c0_g1_i135.p2	TRINITY_GG_27881_c2_g1_i21.p1	TRINITY_GG_30853_c0_g1_i64.p2	TRINITY_GG_32591_c0_g1_i24.p2
OG0003667	TRINITY_GG_10388_c10_g1_i3.p2	TRINITY_GG_27881_c0_g1_i53.p2	TRINITY_GG_30853_c1_g1_i3.p2	TRINITY_GG_32591_c2_g1_i10.p2
OG0003668	TRINITY_GG_10388_c10_g1_i3.p1	TRINITY_GG_27881_c0_g1_i53.p1	TRINITY_GG_30853_c1_g1_i3.p1	TRINITY_GG_32591_c2_g1_i10.p1
OG0003669	TRINITY_GG_10398_c0_g1_i7.p1	TRINITY_GG_12877_c0_g1_i10.p1	TRINITY_GG_26150_c0_g1_i11.p1	TRINITY_GG_12231_c0_g1_i8.p1
OG0003670	TRINITY_GG_10403_c0_g1_i37.p1	TRINITY_GG_12307_c1_g1_i35.p1	TRINITY_GG_28502_c0_g1_i26.p1	TRINITY_GG_1937_c0_g1_i25.p1
OG0003671	TRINITY_GG_10416_c0_g2_i7.p1	TRINITY_GG_3599_c0_g1_i2.p1	TRINITY_GG_16069_c0_g1_i16.p1	TRINITY_GG_18511_c0_g1_i8.p1
OG0003672	TRINITY_GG_10419_c0_g1_i4.p1	TRINITY_GG_15200_c0_g1_i20.p1	TRINITY_GG_21549_c0_g1_i1.p1	TRINITY_GG_21211_c0_g1_i3.p1
OG0003674	TRINITY_GG_10432_c1_g1_i1.p1	TRINITY_GG_6237_c0_g3_i2.p1	TRINITY_GG_11355_c1_g1_i7.p1	TRINITY_GG_32681_c0_g2_i1.p1
OG0003675	TRINITY_GG_10433_c0_g1_i2.p1	TRINITY_GG_6237_c2_g1_i14.p1	TRINITY_GG_11355_c0_g2_i6.p1	TRINITY_GG_32684_c0_g1_i29.p1
OG0003676	TRINITY_GG_10433_c1_g1_i14.p1	TRINITY_GG_6237_c0_g1_i5.p1	TRINITY_GG_11355_c2_g1_i8.p1	TRINITY_GG_32684_c1_g1_i51.p1
OG0003677	TRINITY_GG_10438_c0_g1_i2.p1	TRINITY_GG_14308_c1_g1_i4.p1	TRINITY_GG_15285_c2_g1_i5.p1	TRINITY_GG_16098_c6_g1_i2.p1
OG0003678	TRINITY_GG_10444_c0_g1_i4.p1	TRINITY_GG_14311_c0_g1_i1.p1	TRINITY_GG_15287_c0_g1_i2.p1	TRINITY_GG_16119_c0_g1_i5.p1
OG0003679	TRINITY_GG_10444_c1_g1_i7.p1	TRINITY_GG_14311_c1_g1_i5.p2	TRINITY_GG_15287_c2_g1_i5.p3	TRINITY_GG_16119_c1_g1_i5.p2
OG0003680	TRINITY_GG_10447_c0_g1_i3.p1	TRINITY_GG_14308_c0_g2_i1.p1	TRINITY_GG_15285_c0_g1_i7.p1	TRINITY_GG_16098_c0_g1_i2.p1
OG0003681	TRINITY_GG_10447_c1_g2_i2.p1	TRINITY_GG_14308_c2_g1_i1.p1	TRINITY_GG_15285_c3_g1_i9.p1	TRINITY_GG_16098_c1_g2_i12.p1
OG0003682	TRINITY_GG_10447_c2_g2_i1.p1	TRINITY_GG_14308_c4_g1_i3.p1	TRINITY_GG_15285_c4_g1_i1.p1	TRINITY_GG_16098_c8_g2_i3.p1
OG0003683	TRINITY_GG_10449_c2_g1_i2.p1	TRINITY_GG_14308_c6_g1_i4.p1	TRINITY_GG_15285_c6_g1_i4.p1	TRINITY_GG_16098_c5_g1_i1.p1
OG0003684	TRINITY_GG_10452_c0_g1_i6.p5	TRINITY_GG_14308_c5_g1_i6.p3	TRINITY_GG_15285_c10_g1_i4.p1	TRINITY_GG_16098_c2_g1_i7.p8
OG0003685	TRINITY_GG_10452_c0_g1_i6.p2	TRINITY_GG_14308_c5_g1_i6.p1	TRINITY_GG_15285_c8_g1_i6.p1	TRINITY_GG_16098_c2_g1_i7.p2
OG0003686	TRINITY_GG_10452_c1_g1_i39.p1	TRINITY_GG_14308_c8_g1_i12.p1	TRINITY_GG_15285_c9_g2_i32.p1	TRINITY_GG_16098_c3_g2_i8.p1
OG0003687	TRINITY_GG_10457_c0_g1_i8.p1	TRINITY_GG_14318_c0_g1_i42.p1	TRINITY_GG_15285_c1_g1_i7.p1	TRINITY_GG_16101_c0_g1_i7.p1
OG0003688	TRINITY_GG_10457_c1_g1_i29.p1	TRINITY_GG_14308_c42_g1_i1.p1	TRINITY_GG_15285_c5_g1_i1.p1	TRINITY_GG_16098_c11_g1_i62.p1
OG0003689	TRINITY_GG_10457_c2_g1_i8.p1	TRINITY_GG_14310_c0_g1_i1.p1	TRINITY_GG_15285_c12_g1_i4.p1	TRINITY_GG_16098_c7_g1_i8.p1
OG0003690	TRINITY_GG_10459_c0_g1_i1.p1	TRINITY_GG_14308_c3_g1_i1.p1	TRINITY_GG_15285_c7_g1_i2.p1	TRINITY_GG_16098_c1_g2_i12.p2
OG0003691	TRINITY_GG_10480_c0_g1_i8.p1	TRINITY_GG_23598_c0_g2_i7.p1	TRINITY_GG_13020_c0_g1_i5.p1	TRINITY_GG_1137_c0_g1_i7.p1
OG0003692	TRINITY_GG_10480_c1_g2_i1.p1	TRINITY_GG_23598_c2_g1_i1.p1	TRINITY_GG_13020_c2_g1_i16.p1	TRINITY_GG_1137_c2_g1_i4.p1
OG0003693	TRINITY_GG_10480_c3_g1_i1.p1	TRINITY_GG_23598_c4_g1_i1.p1	TRINITY_GG_13020_c1_g2_i1.p1	TRINITY_GG_1137_c1_g1_i4.p1
OG0003694	TRINITY_GG_10481_c0_g1_i2.p1	TRINITY_GG_23598_c1_g1_i11.p1	TRINITY_GG_13014_c0_g1_i17.p1	TRINITY_GG_1138_c0_g1_i1.p1
OG0003695	TRINITY_GG_10481_c2_g1_i5.p1	TRINITY_GG_23598_c6_g1_i5.p1	TRINITY_GG_13016_c1_g2_i5.p1	TRINITY_GG_1139_c2_g1_i4.p1
OG0003696	TRINITY_GG_10481_c4_g1_i4.p1	TRINITY_GG_23598_c23_g1_i7.p1	TRINITY_GG_13016_c0_g1_i7.p1	TRINITY_GG_1139_c0_g1_i15.p1
OG0003697	TRINITY_GG_10482_c0_g1_i5.p2	TRINITY_GG_23595_c2_g1_i9.p3	TRINITY_GG_13017_c2_g1_i14.p3	TRINITY_GG_1140_c2_g1_i2.p2
OG0003698	TRINITY_GG_10482_c0_g1_i5.p1	TRINITY_GG_23595_c2_g1_i9.p2	TRINITY_GG_13017_c2_g1_i14.p2	TRINITY_GG_1140_c2_g1_i2.p1
